作品名,创作类型,题材,年份,别名,event_id,年谱原文片段(供查找用)
雁山叙别图,作画,花鸟,1931,雁山叙别图; 雁山图; 宣和画谱; 雁山叙别图,evt_02305,蒋叔南书：“宾虹先生青鉴；别来多时矣，剑华先生返沪，谅见面，能详述一切也。昨日偶翻故宫博物院发行之日历（在今年9月10日一页），见有宋赵宗汉《雁山叙别图》，惜其题跋过于细小，未能明察，若固为雁山而作，则于周邠作《雁山图》送东坡之先，早有人作雁山图者矣。先生于古画图考证详洽，能设法穷源竟委而详示其所以，殊为快慰之至也。《宣和画谱》宗汉为濮王孙，善花卉，存于内府者尚有画八幅，类多水禽杂花，而未及《雁山叙别图》，而流传至今，竟宛然存在，于此知天府之深广，为不可及也。图层峦迭（叠）嶂，万壑千岩，似非雁山不类，而乾隆御题则有‘雁山墅’语，不可解也。山高秋早，已有凉意，诸惟万福，匆候大安。弟蒋叔南顿首。廿
刘海粟氏明日抵申—同来者有法政府特派考察之赖鲁娃,著述,其他,1931,刘海粟氏明日抵申—同来者有法政府特派考察之赖鲁娃,,
壮游图,题跋,其他,1931,壮游图,evt_02339,秋九，吴一峰将游浙西写生，为其《壮游图》卷题跋。
刚德画集,出版,其他,1932,刚德画集,evt_02371,3月，学生刘祥龙出版《刚德画集》，为之作序。
通艺录,题跋,篆刻,1932,通艺录,evt_02377,与许承尧书：“芚公先生大鉴：……顷诵手书，指示拙诗，俾有遵循，荣幸何似。昔恽南田常责石谷题画诗跋不通，不吝诤言，古道可风，艺林传为佳话，今获南针之赐，此乐当何如之。程君房墨，近日稀如星凤，要以未受潮湿、无碎裂痕为佳。其次能不黏手有黑色者。前明制墨杵功最足，墨之锋棱能以切纸。唐墨一螺可磨十年，坚可想见。否则碎裂者可捣碎再制，即‘冬心墨’是也，冬心得程君房墨改造之耳。……昨往浦东顾氏花园看桃花，返沪有拙诗并画，尚未脱稿，兹录前十余年旧作，先乞郢削，琐渎勿责。江秋史、洪北江、郑谷口三件，均送令亲罗寓。遇有歙人墨迹，仍当留意收入，以备采择。歙中他姓族谱记载轶闻，往往有所见，如见书画篆刻之人，能分类录存
病榻慰亲图,作画,其他,1932,病榻慰亲图,evt_02380,壬申三月，李祖韩、秋君之母六十岁寿辰，作《病榻慰亲图》以祝。
王石谷画〈南巡图〉粉本,题跋,其他,1932,王石谷画〈南巡图〉粉本,evt_02385,4月，在大风堂为张大千题所购获《王石谷画〈南巡图〉粉本》题跋，诗中对国势颓靡、外患日亟的时局深表忧愤。
湖荷忆昨图,作画,其他,1932,湖荷忆昨图,evt_02388,暮春，为黄节作《湖荷忆昨图》，状1918年夏相偕湖亭看荷之景。
听帆图,作画,其他,1932,听帆图,evt_02391,为唐天如作《听帆图》。
仕女图,作画,人物,1932,仕女图,evt_02398,并为经亨颐夫人题张大千所作《仕女图》。
翦淞阁读画销夏,作画,山水,1932,翦淞阁读画销夏,,
大走客吴一峰·追随宾老溯江入蜀,题跋,山水,1932,大走客吴一峰·追随宾老溯江入蜀,evt_02426,吴嘉陵《大走客吴一峰·追随宾老溯江入蜀》：“1932年初秋，上海的天气已经凉爽了，吴一峰收拾好行装准备动身去江西庐山写生。这天，他在参观画展时，碰见贺天健，两个见面亲热地握着手，贺天健问：“你还没有往庐山去？”吴一峰说：‘过两三天就走！’贺天健说：‘黄宾虹老师即将往四川讲学，你不如和他同去，游三峡沿途写生，再向黄先生学习学习！’吴一峰一听立即改变主意，说：‘好，我就去找黄老师！’贺天健笑道：‘你真是急性子，祝你心想事成！’吴一峰离开展览馆，赶到西门路西成里黄宾虹家。吴一峰走进黄宾虹的画室，见年已六十九岁高龄的老师黄宾虹仍然精神矍铄，正在伏案书写对联。黄宾虹点头招呼吴一峰，然后说：‘马上要动身入
弁言,著述,其他,1932,弁言; 画学常识,evt_02442,9月1日，《画学月刊》创刊，任主编，撰《弁言》、《画学常识》刊其上。
霜柑阁岁寒雅集图,作画,其他,1932,霜柑阁岁寒雅集图,evt_02500,12月22日壬申十一月廿五日，偕吴一峰赴林思进招饮，在座有李亚衡、培甫昆仲、庞石帚、祝屺怀、方鹤翁、沈渻斋等。以乱后不敢夜行，傍晚即散，允作《霜柑阁岁寒雅集图》以纪此会。
